epoch,train_mse,val_mae
1,0.9974362686344633,19.642077052856763
2,0.9260915904828013,16.963054098915528
3,0.7262740426396341,12.597960118664567
4,0.5343111999249256,9.900036055337933
5,0.4796048204555204,9.048277133152915
6,0.4162839437750737,9.688554347103997
7,0.3640248538996573,8.30893995857983
8,0.3485291669149489,9.609612864232652
9,0.31534851973000444,9.42359095029
10,0.29628490483243386,7.996328444412688
11,0.2788684528408406,8.21313574410229
12,0.2670266774920715,8.392008111752832
13,0.2525838036257965,8.724261681962231
14,0.24092289639287362,7.705598016399091
15,0.21736814359360687,7.456945064629008
16,0.21508032191082307,7.304066605933776
17,0.2022052379809874,8.681857292611825
18,0.1896764419299446,7.408335641084629
19,0.17668403246071301,7.969127304067228
20,0.17377597432918165,7.303236687291893
21,0.16560963076473803,7.216817055939078
22,0.15958206171278566,7.093078535151885
23,0.1515032530840043,7.598974606150613
24,0.1424273395955081,6.87736166841187
25,0.13818081985046615,6.917007634791658
26,0.13335201294492777,7.0005469539230605
27,0.12979057732995097,7.27405483607973
28,0.12701830366046704,6.848050964514208
29,0.12300193744729693,6.799769158481157
30,0.11828198276984439,6.854925160600243
31,0.11003205876595509,7.02736499870707
32,0.10656035650048397,7.581097265523804
33,0.1017364086320856,6.7800200565273645
34,0.1012935804315572,6.949014301572881
35,0.10445364383081276,6.908353112298894
36,0.10069451990773906,6.719772325225552
37,0.09406757978424089,6.912293786345285
38,0.09458700575675598,6.90628233067546
39,0.09124615005227082,6.712995601103427
40,0.08855348924780691,6.706676567484405
41,0.0838768481576892,6.727066714679931
42,0.08556779661263526,6.671077770436539
43,0.08164934480574261,6.611639734672477
44,0.0806880183270184,7.029243135638293
45,0.08293568939625902,6.785845222026691
46,0.07697560487641927,6.713872113370462
47,0.0752661596807583,7.141877690279283
48,0.06729484558424079,6.580057838648286
49,0.0627038606779636,6.572238660447774
50,0.06155602877373004,6.604069255883424
